Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Trade name/ Grade/ Manufacturer,Characteristics of material,Material type,Additives,[proc] Compression,[proc] Shape of Test Piece,[proc] Remarks,Reference,Sequence info,Remarks,Mixing / Blending method,State after processing,Molecular weight,Stereoregularity,[proc] Quenching,Melt flow rate,[proc] Extrusion,[proc] Solvent casting,[poly] Reactant,[poly] Type,[poly] Style,[proc] Aging,[proc] Injection,[poly] Mechanism,[poly] Initiator,[poly] Additives,[poly] Condition,[poly] Post-treatment,[poly] Polymn. remarks,[proc] Heating-cooling cycle,[poly] Solvent,[poly] Reference,[proc] Spinning,[proc] Solvent casting & Compression,[proc] Solvent casting&Reaction molding,Morphology,Type of crystal,[proc] Heat-treatment,[proc] Stretching,[proc] Quenching&Annealing,[proc] Annealing,[proc] Annealing&Cooling,[proc] Electrospinning,[proc] Solvent casting&Compression,[proc] Annealing&single shear deformation,[proc] Annealing&double shear deformation,[proc] Gelation/crystn. from dil. soln.,Crystallinity,[proc] Annealing&Shear deformation,[proc] Dip coating,Other 1st structure info,[poly] Catalyst,[poly] Terminator,[proc] Microinjection-compression,[proc] Microinjection,[proc] as processed,[proc] Spin coating,[proc] Coating,[poly] Prepolymer name,[poly] Polymer reaction condition,[proc] Soln. blow spinning,Doping agent,Branch/crosslink info,[proc] Crystallization,[proc] Bulk foaming,[proc] Sulfonation,[proc] spin coating,[proc] sintering,[proc] Thermal treatment,Method,Condition,Related Info.,elecon,log10(elecon),[elecon] condition,[elecon] remarks,[elecon] method,[elecon] temp,thickness_raw,thickness,log10(thickness)
13027-1-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,"/ PS04/ NIPPON ZEON CO.,LTD.",linear,Composite,carbon black; vol%; 6,"200C, 180kg/cm2, 15min",Film,"l = 20mm, w = 10mm, t = 0.8mm","Wu, Chifei; Asai, Shigeo; Sumita, Masao; Miyasaka, Keizo , Kobunshi Ronbunshu , 49 , 11 , 927-932 (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4e-18,-17.26760624017703,Temp. rising rate 5C/min,Taken from the Fig.,,,"l = 20mm, w = 10mm, t = 0.8mm",0.0008,-3.0969100130080562
13027-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,/ F5012M/ SHOWA DENKO K.K.,linear,Composite,carbon black; vol%; 6,"200C, 180kg/cm2, 15min",Film,"l = 20mm, w = 10mm, t = 0.8mm","Wu, Chifei; Asai, Shigeo; Sumita, Masao; Miyasaka, Keizo , Kobunshi Ronbunshu , 49 , 11 , 927-932 (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-07,-6.769551078621726,Temp. rising rate 5C/min,Taken from the Fig.,,,"l = 20mm, w = 10mm, t = 0.8mm",0.0008,-3.0969100130080562
13027-4-1-1,P020001,polystyrene,Homopolymer,"Polystyrenes, Polyvinyls",C8H8,104.15,"/ BV04/ NIPPON ZEON CO.,LTD.",linear,Composite,carbon black; vol%; 6,"200C, 180kg/cm2, 15min",Film,"l = 20mm, w = 10mm, t = 0.8mm","Wu, Chifei; Asai, Shigeo; Sumita, Masao; Miyasaka, Keizo , Kobunshi Ronbunshu , 49 , 11 , 927-932 (1992)",Chain-ends modified with functional groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4e-18,-17.26760624017703,Temp. rising rate 5C/min,Taken from the Fig.,,,"l = 20mm, w = 10mm, t = 0.8mm",0.0008,-3.0969100130080562
13027-5-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,/ F5012M/ SHOWA DENKO K.K.,linear,Composite,carbon black; vol%; 6,"200C, 180kg/cm2, 15min",Film,"l = 20mm, w = 10mm, t = 0.8mm","Wu, Chifei; Asai, Shigeo; Sumita, Masao; Miyasaka, Keizo , Kobunshi Ronbunshu , 49 , 11 , 927-932 (1992)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-07,-6.769551078621726,Temp. rising rate 5C/min,Taken from the Fig.,,,"l = 20mm, w = 10mm, t = 0.8mm",0.0008,-3.0969100130080562
13048-1-1-2,P070013,poly(ethylene oxide),Homopolymer,Polyoxides/ethers/acetals,C2H4O,44.05,,"polyelectrolyte&intercalation compound,Semiconductive",Composite,1 charged Na+ montmorillonite;oxyethylene unit/Na+ cation ratio;7.7,Dry sample(films) pressed at 700MPa,Pellet,"30-40micron*2mm,layered material","Aranda, Pilar; Ruiz-Hitzky, Eduardo , Chemistry of Materials , 4 , 6 , 1395-1403 (1992)",,"Base PEO supplied by Merck or by Aldrich Chem. Co.,montmorillonite from Upton(WY) supplied by Ward's Natural Science Establishment Inc. and cation exchanged by NaCl soln.","Powders or self-supporting film of Na+ montmorillonite immersed into PEO CH3CN soln. at RT for 2-5days,then washed with (i)dry CH3CN to remove nonintercalated PEO and (ii)MeOH to remove CH3CN and dried at 350K under vacuum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-07,-6.698970004336019,"ca 400 [K] , 10mHz-0.5MHz under N2","Parallel to silicate layer(thickness of sample=ca 2mm),taken from the Fig.",Frequency response analyzer,127.0,"30-40micron*2mm,layered material",3.5e-05,-4.455931955649724
13078-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,Graphite; volume fraction; 0.1,"160C, 15min",Sheet,"l = 80mm, w = 80mm, t = 1mm","Nagata, Kazuya; Kodama, Souji; Nigo, Hideyuki; Kawasaki, Hitoshi; Deki, Shigehito; Mizuhata, Minoru , Kobunshi Ronbunshu , 49 , 8 , 677-685 (1992)",,LDPE supplied by Mitsubishi Kasei Corporation,Composite prepared using 6inch mixing-roll at 110-120C for 10min,"Crystalca 71[%](XRD(XRS),)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-16,-16.0,25 [C],Taken from the Fig.,,25.0,"l = 80mm, w = 80mm, t = 1mm",0.001,-3.0
13078-3-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,Graphite; volume fraction; 0.2,"160C, 15min",Sheet,"l = 80mm, w = 80mm, t = 1mm","Nagata, Kazuya; Kodama, Souji; Nigo, Hideyuki; Kawasaki, Hitoshi; Deki, Shigehito; Mizuhata, Minoru , Kobunshi Ronbunshu , 49 , 8 , 677-685 (1992)",,LDPE supplied by Mitsubishi Kasei Corporation,Composite prepared using 6inch mixing-roll at 110-120C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-11,-10.769551078621726,25 [C],Taken from the Fig.,,25.0,"l = 80mm, w = 80mm, t = 1mm",0.001,-3.0
13078-4-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,,linear,Composite,Graphite; volume fraction; 0.4,"160C, 15min",Sheet,"l = 80mm, w = 80mm, t = 1mm","Nagata, Kazuya; Kodama, Souji; Nigo, Hideyuki; Kawasaki, Hitoshi; Deki, Shigehito; Mizuhata, Minoru , Kobunshi Ronbunshu , 49 , 8 , 677-685 (1992)",,LDPE supplied by Mitsubishi Kasei Corporation,Composite prepared using 6inch mixing-roll at 110-120C for 10min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00063,-3.2006594505464183,25 [C],Taken from the Fig.,,25.0,"l = 80mm, w = 80mm, t = 1mm",0.001,-3.0
13497-2-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,pitch based carbon fiber; volume fraction %; 3,"270C, 60MPa",Sheet,"l = 35mm, w = 5mm, t = 3mm","Demain, A.; Issi, J. P. , Journal of Composite Materials , 27 , 7 , 668-683 (1993)",,"polycarbonate, Lexan; 145; General Electric, fiber 500 micro meter long in the composite","PC diluted in dioxane, fiber incorporated in the soln., then homogenized for 15min using magnetic stirrer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000535,-3.2716462179787715,"23 [C] ,  Measured in a direction parallel to largest faces of plates, called longitudinal",Taken from the Fig.,Four probe method,23.0,"l = 35mm, w = 5mm, t = 3mm",0.003,-2.5228787452803374
13497-3-1-1,P150011,poly(bisphenol A carbonate),Homopolymer,Polycarbonates/thiocarbonates,C16H14O3,254.28,,linear,Composite,pitch based carbon fiber; volume fraction %; 10,"270C, 60MPa",Sheet,"l = 35mm, w = 5mm, t = 3mm","Demain, A.; Issi, J. P. , Journal of Composite Materials , 27 , 7 , 668-683 (1993)",,"polycarbonate, Lexan; 145; General Electric, fiber 500 micro meter long in the composite","PC diluted in dioxane, fiber incorporated in the soln., then homogenized for 15min using magnetic stirrer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.2041199826559248,"23 [C] ,  Measured in a direction parallel to largest faces of plates, called longitudinal",Taken from the Fig.,Four probe method,23.0,"l = 35mm, w = 5mm, t = 3mm",0.003,-2.5228787452803374
