Sample ID,PID,Name,Polymer type,Polymer class,CU formula,Formula weight(FW),Characteristics of material,Material type,Additives,Reference,Trade name/ Grade/ Manufacturer,Remarks,[proc] Compression,[proc] Shape of Test Piece,Molecular weight,[proc] Extrusion,[proc] Stretching,[proc] Remarks,State after processing,Morphology,Melt flow rate,Mixing / Blending method,[proc] Quenching,Stereoregularity,[proc]  Melt casting,[proc] Annealing,[poly] Reactant,[poly] Type,[poly] Polymn. remarks,Degree of polymerization,[proc] Foaming,[proc] Injection,[proc] As received,[proc] Aging,[proc] Aging and thermal shock testing,[proc] batch foaming,[poly] Mechanism,[poly] Style,[poly] Solvent,[poly] Initiator,[poly] Reference,[poly] Polymer reaction condition,[poly] Prepolymer name,Crosslink density,[poly] Additives,[poly] Condition,[proc] as processed,[proc] Extrusion&Compression,[proc] Electrospinning,[proc] Solvent casting,[proc] Electrospinning&Compression,[poly] Catalyst,[poly] Terminator,[poly] Post-treatment,Type of crystal,Other 1st structure info,Crystallinity,log10(thermal_con),thermal_con,[thermal_con] method,[thermal_con] condition,[thermal_con] temp,[thermal_con] remarks,thickness_raw,thickness,log10(thickness)
10017-2-1-1,P010001,polyethene,Homopolymer,Polyolefins,CH2,14.03,linear,Composite,TiO2;%;10,"Kraybill, Richard R. , Polymer Engineering and Science , 21 , 3 , 124-128 (1981)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.413412695328245,0.386,Colora Thermoconductometer,48 [C],48.0,Solid,,,
10243-7-1-1,P050002,poly(vinyl chloride),Homopolymer,"Polyvinyls, Polyhalo-olefins",C2H3Cl,62.5,"linear,Thermoplastic",Composite,white pigment,"Underwood, W. M.; Taylor, J. R. , Polymer Engineering and Science , 18 , 7 , 556-563 (1978)",Vyram/ 2745-white/ Monsanto Co.,"riexpt, nonplasticized",Shape of Test Piece,Disk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7619538968712046,0.173,line-source method,24 [C],24.0,Converted from 1.730mW/cm2(C/cm),,,
10987-2-1-2,P090027,poly(ethylene terephthalate),Homopolymer,Polyesters/thioesters,C10H8O4,192.17,"linear,Thermoplastic",Composite,Filler,"Bailey, R. T.; Cruickshank, F. R.; McLeod, A.; Pugh, D.; Faraday, A. G. , Polymer Communications , 26 , 1 , 23-25 (1985)",MELINEX/ XRB/ ICI,,,Film,"Mv=17000...19000(Viscosity, intrinsic viscosity, ortho-chlorophenol)",Stretching,"Uniaxially drawn x2.00, 90C",t = 0.40mm,"Crystal6[%](Density,Obtained using 1.335g/cm3 for completely amorphous and 1.477g/cm3 for totally crystalline)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1479853206838051,1.406,Thermal lens technique,23 [C],23.0,Parallel to draw,t = 0.40mm,0.0004,-3.3979400086720375
11668-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;10,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. TGFPP 10,,Most GF orientated and perpendicular to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6020599913279624,0.25,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. TGFPP 10,,
11668-3-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;10,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. NGFPP 10,,Most GF orientated and parallel to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5686362358410126,0.27,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. NGFPP 10,,
11668-4-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;20,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. TGFPP 20,,Most GF orientated and perpendicular to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5528419686577808,0.28,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. TGFPP 20,,
11668-5-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;20,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. NGFPP 20,,Most GF orientated and parallel to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5228787452803376,0.3,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. NGFPP 20,,
11668-6-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;30,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. TGFPP 30,,Most GF orientated and perpendicular to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5228787452803376,0.3,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. TGFPP 30,,
11668-7-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,linear,Composite,Glass-fiber(GF);wt%;30,"Chiu, Wen Yen; Hsiung, Chang Meng , J. Chin. Inst. Chem. Eng. , 17 , 6 , 399-404 (1986)",,Com. PP;PC366(3),Quenching,,,,,Specimen no. NGFPP 30,,Most GF orientated and parallel to the heat flow direction under test,"3(g/10min,)","PP and GF(6mm chopped strand)mixed and blended through screw extruder,cut to graines",Water quenched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.494850021680094,0.32,Hot wire transient method,100 [C],100.0,Taken from the Fig.,Specimen no. NGFPP 30,,
12073-2-1-1,P010002,poly(prop-1-ene),Homopolymer,Polyolefins,C3H6,42.08,"linear,Thermoplastic",Composite,glass fiber;wt%;10.88,"Yen, C. L.; Tseng, H. C.; Wang, Y. Z.; Hsieh, K. H. , Journal of Applied Polymer Science , 42 , 5 , 1179-1184 (1991)",,Glass fiber reinforced PP,,Pellet,,"PP(Youngsox;;Yung Chia Chem. Ind. Co., Mw=108000, Mw/Mn=3.9) compounded with glass fiber (l=6mm, d=18-20micron) through twin screw extruder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8153085691824012,0.153,Compensating hot wire method,"ca 189 [C] , 1kg/cm2",189.0,Taken from the Fig.,,,
